BW or Color,Budget,Currency,Genre,MPAA,Month of Release,Rating,Runtime,Title,Year
Color,72000000,$,BiographyDramaHistoryWar,R,May,8.3,225,Braveheart,1995
Color,1200000,$,CrimeDramaThriller,R,October,8.3,99,Reservoir Dogs,1992
Color,30000000,$,DramaWar,,June,8.3,116,Full Metal Jacket,1987
Color,,,DramaThrillerWar,,February,8.3,105,Come and See,1985
Color,18500000,$,ActionAdventureSci-FiThriller,R,July,8.3,154,Aliens,1986
Color,18000000,$,BiographyDramaHistoryMusic,R,September,8.3,180,Amadeus,1984
Color,25000000,$,CrimeDrama,,December,8.3,142,Scarface,1983
Color,32500000,$,ActionAdventureFantasySci-Fi,PG,May,8.3,134,Star Wars: Episode VI - Return of the Jedi,1983
Color,32000000,DEM,AdventureDramaThrillerWar,R,February,8.3,209,Das Boot,1981
Color,1300000,$,CrimeDrama,,February,8.3,110,Taxi Driver,1976
Color,5500000,$,ComedyCrimeDrama,,December,8.3,129,The Sting,1973
Color,2200000,$,CrimeDramaSci-Fi,,February,8.3,136,A Clockwork Orange,1971
Color,3000000,INR,DramaMusical,,March,8.3,122,Anand,1971
Color,12000000,$,AdventureSci-Fi,,May,8.3,161,2001: A Space Odyssey,1968
Black and White,2000000,$,CrimeDrama,,March,8.3,129,To Kill a Mockingbird,1962
Color,15000000,$,AdventureBiographyDramaHistoryWar,,September,8.3,228,Lawrence of Arabia,1962
Black and White,3000000,$,ComedyDramaRomance,,June,8.3,125,The Apartment,1960
Color,3101000,$,AdventureMysteryThriller,,December,8.3,136,North by Northwest,1959
Color,2479000,$,MysteryRomanceThriller,PG,March,8.3,129,Vertigo,1958
Color,2540800,$,ComedyMusicalRomance,G,November,8.3,103,Singin' in the Rain,1952
Black and White,,,Drama,,December,8.3,123,Ikiru,1952
Black and White,133000,$,Drama,,October,8.3,89,Bicycle Thieves,1948
Black and White,927262,$,CrimeDramaFilm-NoirMysteryThriller,,July,8.3,90,Double Indemnity,1944
Black and White,839727,$,DramaMystery,PG,September,8.3,119,Citizen Kane,1941
Black and White,,,CrimeMysteryThriller,,March,8.3,108,M,1931
Black and White,6000000,DEM,DramaSci-Fi,,July,8.3,80,Metropolis,1927
Black and White,250000,$,ComedyDramaFamily,,Taglines,8.3,58,The Kid,1921
Color,450000000,INR,ActionDramaWar,,January,8.2,138,Uri: The Surgical Strike,2018
Color,4500000,$,CrimeDramaMusicMysteryThriller,,October,8.2,139,Andhadhun,2018
Color,,,ActionDrama,,December,8.2,156,K.G.F: Chapter 1,2018
Color,23000000,$,BiographyComedyDramaMusic,PG-13,November,8.2,130,Green Book,2018
